v,w,x,y,z,class
5.213,7.8319,5.8688,1.8992,4.5543,A
7.9804,6.2434,3.3748,9.6014,6.8604,B
5.9699,2.2131,8.3778,7.2586,8.315,D
6.7367,8.0317,2.5619,2.9759,5.3131,C
5.3186,8.8963,4.0885,0.8288,6.184,D
0.0268,4.8568,0.5661,6.9889,1.5682,B
7.3587,3.3227,8.1508,9.0275,7.3022,B
6.6262,1.148,7.1937,7.4362,8.2966,B
5.5581,9.921,4.2611,2.5486,3.5354,D
6.2897,4.9958,7.6099,2.9149,0.5638,B
2.9862,5.6481,2.4945,5.6428,4.3179,A
3.9263,9.0009,4.7179,2.6778,7.3097,A
9.097,2.1643,5.3579,2.0466,2.3848,B
7.2934,3.0279,7.5666,5.4185,6.5075,B
3.4096,8.3923,5.7378,2.2619,7.0439,B
1.9488,5.0688,1.9096,8.0344,4.1081,B
1.2759,5.3993,2.378,7.1831,2.6843,E
5.025,8.6031,3.8882,3.9144,4.2435,B
4.4398,9.3059,1.992,1.0056,5.3333,D
2.9457,3.9828,0.6213,7.9033,3.2211,D
3.8836,8.9073,3.7066,1.753,6.6809,B
3.2296,4.8268,2.0116,7.1669,2.5643,E
1.2335,3.4519,6.0904,2.2108,8.5822,B
9.0712,2.6147,7.236,8.8794,6.9896,C
9.6624,2.3257,8.2097,7.6543,8.6208,D
1.9907,4.7531,1.6855,4.4341,2.1931,E
10.0,2.4074,7.9986,7.2463,6.8185,B
2.01,4.8004,1.4298,6.6859,1.5933,D
9.7684,2.7094,9.9796,7.3887,7.3454,B
4.8194,9.2976,1.0525,0.4544,6.7492,B
5.0711,8.5716,4.9487,3.7024,3.9153,A
1.6932,9.0625,4.5165,7.4455,0.8534,B
4.1037,9.007,6.2852,7.8004,6.0465,B
2.2927,4.6216,1.508,6.1128,2.3072,B
4.3701,9.3421,3.925,1.2006,4.6182,A
5.5989,7.7873,7.346,3.3053,1.147,B
4.246,8.8649,4.6111,4.6651,4.6442,B
2.0588,4.7838,1.9468,6.0973,2.3572,E
1.4778,7.8338,2.0053,9.7837,9.716,B
3.6092,4.5056,0.4071,4.8705,1.4391,A
0.0,4.6071,0.3071,8.5948,3.8123,A
0.179,1.7135,0.3667,2.0916,8.6158,B
8.1913,1.8456,8.3415,8.1759,6.0246,B
2.6423,5.5028,2.9042,7.8195,2.4031,D
2.0732,3.8319,3.3994,6.5801,1.6625,B
2.2874,5.2775,1.4659,7.4501,2.2942,A
4.8846,7.922,3.2708,3.3514,4.838,D
2.7616,4.278,2.95,6.4943,0.7361,E
7.5935,2.0212,8.3092,7.2705,7.6038,D
0.7499,2.7212,0.8692,2.1685,3.4745,B
3.881,8.1572,3.3642,9.0763,3.2535,B
7.4103,7.9027,9.694,2.6647,8.113,B
3.2791,9.3518,4.0355,3.3219,4.8729,C
0.6321,7.7452,9.6443,8.0728,2.5285,B
5.3222,1.5463,9.1758,3.9516,8.1605,B
5.1342,3.3239,6.0072,6.5047,2.6616,B
3.7897,4.6177,2.1093,5.5206,1.9699,A
6.7211,4.7921,6.6365,9.7472,8.8289,B
8.4777,6.623,5.7914,4.5724,4.7877,B
7.9329,2.9808,6.8931,8.3804,7.76,B
8.922,1.0235,8.7331,9.9419,4.5169,B
4.9939,9.909,5.1983,2.6713,4.8203,D
5.5474,9.3566,4.8391,2.497,5.4561,A
5.9006,8.247,5.4791,2.788,4.9011,C
5.6214,4.7846,2.7463,6.4397,0.6388,A
7.4001,2.0729,8.1969,6.9663,7.345,D
7.3087,2.2068,8.2451,7.3038,7.6193,C
6.5782,7.646,4.2182,1.5911,4.6434,C
4.098,4.7876,6.1533,5.5618,5.522,B
7.2075,0.0,8.8635,6.0887,8.0561,D
5.4813,8.1976,5.0222,1.0747,4.2869,B
4.8088,6.8036,3.9037,7.8504,1.4195,B
4.0819,8.7037,4.5465,4.1681,5.2692,B
7.4959,2.1801,8.2603,7.101,7.5343,B
3.2687,5.1382,1.5998,7.0882,2.522,E
9.9564,5.7974,9.7449,7.28,9.1171,B
1.0165,4.9374,1.4901,5.5511,2.542,B
7.5469,2.2864,7.9712,7.211,7.1907,B
8.0913,1.0788,8.4633,2.4134,5.8729,B
4.6329,8.5559,5.3563,0.6459,6.038,A
5.7485,2.3118,7.8803,8.2694,10.0,B
2.0621,4.6235,1.9339,6.326,2.7578,D
4.2135,9.6643,4.4809,9.9955,2.7704,B
6.9443,2.2339,7.684,8.2547,7.2033,D
7.5335,2.991,8.9605,6.9488,7.1008,C
6.6687,3.0186,8.307,6.8446,7.2891,B
2.146,5.299,0.0,6.4428,3.1794,D
2.1024,4.641,2.331,5.2388,3.1688,B
5.6594,8.0416,5.4225,3.1091,5.315,A
2.4588,4.4635,1.9674,6.19,2.7079,D
2.4675,5.6282,3.2304,6.6363,3.4766,B
7.0219,9.2477,1.5003,0.563,0.7469,B
1.8284,4.5841,0.3468,6.5196,3.0772,D
2.1198,0.3091,4.1477,2.2519,9.348,B
6.9205,8.6749,3.9091,1.3533,2.8537,D
1.5978,4.2922,0.7925,6.096,1.6485,B
7.6984,2.0676,8.1921,7.2775,7.577,B
7.284,2.8115,3.0306,5.861,0.2427,B
8.1446,7.211,5.4045,5.3471,0.3951,B
7.9324,1.7166,7.1421,6.675,8.6812,B
6.4986,8.4944,4.3533,0.2871,4.635,D
8.9793,0.9758,7.2832,6.1111,7.7921,C
3.2538,3.9072,8.8697,2.7355,7.0341,B
4.3003,8.1292,2.9807,2.1218,4.4964,D
5.233,3.9036,6.1278,7.5034,5.1817,B
2.0908,4.776,3.4225,5.0272,1.4781,E
3.0715,7.6727,3.4509,5.9012,5.2415,B
