v,w,x,y,z,class
5.8956,4.0305,9.8717,7.4463,6.6795,C
8.1896,2.6339,2.0099,3.7945,1.9746,E
1.962,7.3507,4.814,3.6462,6.3045,A
1.1351,5.3349,5.3889,5.754,5.3558,E
0.6834,9.3275,5.4921,4.0864,4.355,C
4.7898,9.3359,0.3795,8.0862,3.2604,E
0.3357,0.0045,5.5191,5.7865,7.2296,E
0.9165,7.8366,6.182,3.5647,6.2025,E
4.9821,3.7768,8.7123,7.3549,9.1002,E
3.0659,0.91,1.6451,8.2647,6.0316,E
1.8939,8.6662,4.7359,6.6053,2.7899,C
7.8455,2.9317,1.8409,2.3535,1.6919,C
5.4087,2.7487,9.3357,9.3656,7.4502,E
5.7078,3.904,9.2075,8.4022,8.3515,E
5.2954,3.0992,7.9294,8.0671,7.6795,D
4.8419,9.285,6.216,6.2311,1.3064,E
4.3519,4.3572,7.5055,7.0138,5.6821,D
7.8049,2.8149,1.6468,2.3486,2.7109,C
5.1078,4.2161,7.9761,3.0432,1.7409,E
7.1885,4.139,6.9694,2.716,9.7573,E
7.5984,3.0111,1.9446,2.268,2.6469,C
7.9783,2.5951,1.6889,2.6316,2.7,E
1.2358,4.0633,9.9464,7.2237,2.3376,E
7.9788,2.7295,1.6908,2.4065,2.3962,C
1.753,7.212,4.5209,4.0994,5.0989,A
4.2026,2.72,0.2551,0.0436,0.8829,E
7.9675,3.0454,1.817,2.3895,2.6013,A
5.0229,2.6062,8.0471,6.7994,6.7184,B
8.5447,2.3209,2.5593,1.6036,1.6736,C
7.9433,3.4129,0.0,3.0674,0.7517,C
7.2978,2.3954,1.9846,0.9927,2.478,E
7.8357,7.9534,4.6421,0.903,7.6152,E
1.435,6.3736,4.5194,4.5935,5.0679,E
0.9576,7.2943,7.0363,5.9058,6.1381,A
8.9765,0.0581,1.2669,1.078,5.4831,E
5.2478,3.8081,8.1912,7.6396,7.4261,D
5.4191,3.9063,8.4449,7.8355,7.7011,B
5.6695,5.0258,7.015,8.5888,10.0,E
0.0342,8.6338,3.7751,5.6775,3.265,D
4.2468,3.209,3.0215,9.5786,9.0543,E
5.5428,3.4953,8.4932,7.7827,7.5075,C
1.0927,8.247,6.2934,6.1164,3.3191,E
5.3466,3.6801,8.311,7.499,7.372,C
4.8637,5.4958,8.588,7.0735,7.6448,B
0.6579,8.7994,6.075,5.6299,5.3818,D
3.7315,4.6584,2.036,8.5584,5.3832,E
3.0504,7.4931,4.112,3.6293,9.534,E
6.934,3.8771,1.8138,2.4528,2.4372,A
6.0928,7.2645,1.1303,6.7462,2.9659,E
7.5441,1.3942,2.7196,2.4936,2.7514,E
7.8594,3.0035,2.4254,1.9794,1.2538,A
8.7718,5.3881,4.9698,2.0823,2.3438,E
5.3583,2.4779,8.2881,6.5308,8.8787,B
4.7225,2.5499,8.5341,7.7126,7.7058,D
4.7818,0.0,8.11,5.7353,6.8719,C
5.4279,1.9721,9.5143,4.624,7.0613,E
4.8618,2.9118,8.4002,6.7313,7.478,B
2.0452,9.1712,6.3757,4.8126,4.8937,D
